epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10569.9,0.59069,0.40361,1.06072,0.9615,0.9842,0.98603,0.89598,0.46433,0.26982,0.92569,0.00033032,0.00033032,0.00033032
43,10820.2,0.58155,0.39734,1.05613,0.95543,0.98686,0.98667,0.9015,0.45715,0.27183,0.90874,0.000324815,0.000324815,0.000324815
44,11070.9,0.57066,0.38351,1.04478,0.96997,0.98533,0.98967,0.90875,0.43996,0.24174,0.89798,0.000319311,0.000319311,0.000319311
45,11321.7,0.57659,0.38371,1.04478,0.96336,0.98078,0.98621,0.8953,0.46196,0.27128,0.9131,0.000313806,0.000313806,0.000313806
46,11572.1,0.56839,0.37974,1.04161,0.972,0.97742,0.98796,0.90995,0.43611,0.25285,0.89101,0.000308302,0.000308302,0.000308302
47,11822.8,0.56887,0.38153,1.04489,0.96846,0.98125,0.98338,0.90325,0.45088,0.27143,0.90796,0.000302798,0.000302798,0.000302798
48,12073.9,0.56828,0.37948,1.04368,0.97349,0.97869,0.9895,0.91113,0.43552,0.24493,0.89799,0.000297293,0.000297293,0.000297293
49,12326.1,0.55592,0.37501,1.03764,0.97021,0.98927,0.98975,0.92144,0.41896,0.22914,0.88505,0.000291789,0.000291789,0.000291789
50,12578,0.56075,0.37685,1.04124,0.96313,0.98607,0.98725,0.91226,0.42879,0.24997,0.89458,0.000286284,0.000286284,0.000286284
51,12828.6,0.54925,0.36187,1.02846,0.98151,0.97708,0.9902,0.9247,0.40477,0.22601,0.87688,0.00028078,0.00028078,0.00028078
52,13079.4,0.5334,0.35545,1.02397,0.97716,0.98597,0.992,0.92442,0.40445,0.22011,0.87485,0.000275276,0.000275276,0.000275276
53,13329.1,0.52816,0.35453,1.01894,0.9699,0.9891,0.99114,0.92542,0.40274,0.21901,0.88118,0.000269771,0.000269771,0.000269771
54,13579.8,0.5299,0.35514,1.01953,0.97252,0.98718,0.99092,0.92967,0.40316,0.2246,0.88056,0.000264267,0.000264267,0.000264267
55,13830.1,0.5172,0.34166,1.01586,0.97044,0.98382,0.98761,0.92342,0.40112,0.23156,0.87938,0.000258762,0.000258762,0.000258762
56,14080.2,0.51699,0.34425,1.02083,0.97025,0.98369,0.98941,0.93055,0.40063,0.23362,0.87467,0.000253258,0.000253258,0.000253258
57,14330.5,0.52228,0.34908,1.01698,0.97604,0.9861,0.99087,0.93473,0.38524,0.21759,0.87118,0.000247754,0.000247754,0.000247754
